rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,81,-0.300,-0.030,0.000,5.46,-24.84,38.32
2,84,-0.300,-0.030,0.050,5.08,-24.84,44.48
3,83,-0.300,-0.030,0.030,5.08,-24.84,44.48
4,82,-0.300,-0.030,0.020,5.01,-24.84,44.48
5,85,-0.300,-0.030,0.080,4.69,-24.84,44.48
6,51,-0.200,-0.070,0.000,3.89,-30.59,76.37
7,13,-0.100,-0.070,0.030,3.59,-38.18,87.96
8,14,-0.100,-0.070,0.050,3.59,-38.18,87.96
9,12,-0.100,-0.070,0.020,3.59,-38.18,87.96
10,27,-0.150,-0.050,0.020,3.21,-22.31,30.67
11,29,-0.150,-0.050,0.050,3.18,-22.31,30.67
12,28,-0.150,-0.050,0.030,3.18,-22.31,30.67
13,52,-0.200,-0.070,0.020,3.13,-30.81,78.54
14,79,-0.250,-0.100,0.050,3.01,-52.79,87.74
15,78,-0.250,-0.100,0.030,3.01,-52.79,87.74
16,77,-0.250,-0.100,0.020,3.01,-52.79,87.74
17,15,-0.100,-0.070,0.080,3.00,-38.18,87.96
18,11,-0.100,-0.070,0.000,2.96,-38.18,85.67
19,53,-0.200,-0.070,0.030,2.95,-30.81,78.54
20,54,-0.200,-0.070,0.050,2.95,-30.81,78.54
35,31,-0.150 (현재),-0.070,0.000,2.51,-33.46,50.56
