coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,120.59,-7.58,-5.04,5,-0.100,-0.030,0.080
KRW-AVAX,-86.21,-5.02,-0.41,41,-0.200,-0.030,0.000
KRW-BTC,442.80,-1.70,1.10,62,-0.250,-0.030,0.020
KRW-DOGE,79.84,-10.94,-6.55,61,-0.250,-0.030,0.000
KRW-DOT,-64.57,3.23,4.45,22,-0.150,-0.030,0.020
KRW-ETH,445.93,-0.01,1.52,21,-0.150,-0.030,0.000
KRW-LINK,-2.83,-5.41,0.91,51,-0.200,-0.070,0.000
KRW-SOL,-49.41,-13.86,-10.20,41,-0.200,-0.030,0.000
KRW-SUI,61.87,-5.02,0.17,41,-0.200,-0.030,0.000
KRW-XRP,222.71,-7.23,-2.99,81,-0.300,-0.030,0.000
