cycle_hours,avg_pnl_pct,avg_max_dd_pct,total_buys,total_sells
4,40.72,-52.20,2011,579
8,47.75,-51.52,1397,457
12,24.03,-47.68,1133,397
24,101.09,-33.62,633,284
48,113.17,-27.82,345,189
