coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,120.59,0.00,0.00,5,-0.100,-0.030,0.080
KRW-AVAX,-86.21,0.00,0.00,1,-0.100,-0.030,0.000
KRW-BTC,442.80,0.00,0.00,1,-0.100,-0.030,0.000
KRW-DOGE,79.84,0.00,0.00,1,-0.100,-0.030,0.000
KRW-DOT,-64.57,0.25,0.25,21,-0.150,-0.030,0.000
KRW-ETH,445.93,0.00,0.00,1,-0.100,-0.030,0.000
KRW-LINK,-2.83,0.00,0.00,2,-0.100,-0.030,0.020
KRW-SOL,-49.41,0.00,0.00,1,-0.100,-0.030,0.000
KRW-SUI,61.87,0.00,0.00,1,-0.100,-0.030,0.000
KRW-XRP,222.71,0.00,0.00,1,-0.100,-0.030,0.000
