coin,rule_id,backstop_pct,trailing_pct,min_profit,base_pct,pnl_pct,max_dd_pct,n_buys,n_sells
KRW-ADA,6,-0.100,-0.050,0.000,0.30,-43.699,-59.592,1342,177
KRW-ADA,4,-0.100,-0.030,0.050,0.30,-67.100,-69.933,1735,300
KRW-ADA,2,-0.100,-0.030,0.020,0.30,-66.229,-69.138,1761,304
KRW-ADA,5,-0.100,-0.030,0.080,0.30,-68.348,-71.074,1728,300
KRW-ADA,1,-0.100,-0.030,0.000,0.30,-68.217,-70.954,1813,318
KRW-ADA,3,-0.100,-0.030,0.030,0.30,-67.117,-69.949,1755,304
KRW-ADA,8,-0.100,-0.050,0.030,0.30,-41.914,-58.757,1203,155
KRW-ADA,11,-0.100,-0.070,0.000,0.30,-40.085,-61.840,1120,140
KRW-ADA,9,-0.100,-0.050,0.050,0.30,-39.916,-56.950,1210,156
KRW-ADA,10,-0.100,-0.050,0.080,0.30,-41.162,-56.268,1204,161
KRW-ADA,7,-0.100,-0.050,0.020,0.30,-41.354,-58.123,1224,159
KRW-ADA,13,-0.100,-0.070,0.030,0.30,-29.203,-58.730,984,121
KRW-ADA,16,-0.100,-0.100,0.000,0.30,-22.962,-56.287,994,111
KRW-ADA,17,-0.100,-0.100,0.020,0.30,-20.231,-55.573,831,92
KRW-ADA,18,-0.100,-0.100,0.030,0.30,-18.216,-54.313,784,88
KRW-ADA,12,-0.100,-0.070,0.020,0.30,-31.005,-58.356,998,123
KRW-ADA,20,-0.100,-0.100,0.080,0.30,-17.977,-53.964,705,82
KRW-ADA,14,-0.100,-0.070,0.050,0.30,-28.707,-57.864,959,118
KRW-ADA,21,-0.150,-0.030,0.000,0.30,-63.135,-67.755,1658,258
KRW-ADA,15,-0.100,-0.070,0.080,0.30,-27.342,-56.863,954,119
KRW-ADA,23,-0.150,-0.030,0.030,0.30,-60.251,-64.048,1468,225
KRW-ADA,24,-0.150,-0.030,0.050,0.30,-60.776,-64.370,1439,221
KRW-ADA,19,-0.100,-0.100,0.050,0.30,-17.183,-53.736,733,83
KRW-ADA,25,-0.150,-0.030,0.080,0.30,-60.703,-64.304,1449,224
