coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,729,-45.69,-6.37,-17.06,8,0,9362758
KRW-ADA,long_short,729,-45.69,-6.37,-17.06,8,0,9362758
KRW-ADA,short,729,-45.69,0.00,0.00,0,0,10000000
KRW-AVAX,long,729,-72.63,-12.04,-24.50,5,0,8796198
KRW-AVAX,long_short,729,-72.63,-12.04,-24.50,5,0,8796198
KRW-AVAX,short,729,-72.63,0.00,0.00,0,0,10000000
KRW-BTC,long,729,20.54,16.14,-10.56,3,0,11613892
KRW-BTC,long_short,729,20.54,22.36,-28.27,3,1,12236157
KRW-BTC,short,729,20.54,5.36,-23.54,0,1,10535793
KRW-DOGE,long,729,-38.00,19.32,-12.16,6,0,11931763
KRW-DOGE,long_short,729,-38.00,19.32,-12.16,6,0,11931763
KRW-DOGE,short,729,-38.00,0.00,0.00,0,0,10000000
KRW-DOT,long,729,-80.53,17.03,-17.60,7,0,11703330
KRW-DOT,long_short,729,-80.53,17.03,-17.60,7,0,11703330
KRW-DOT,short,729,-80.53,0.00,0.00,0,0,10000000
KRW-ETH,long,729,-22.11,-1.25,-14.79,4,0,9874555
KRW-ETH,long_short,729,-22.11,-1.25,-14.79,4,0,9874555
KRW-ETH,short,729,-22.11,0.00,0.00,0,0,10000000
KRW-LINK,long,729,-31.96,-4.08,-12.48,6,0,9592134
KRW-LINK,long_short,729,-31.96,-4.08,-12.48,6,0,9592134
KRW-LINK,short,729,-31.96,0.00,0.00,0,0,10000000
KRW-SOL,long,729,-38.34,-5.80,-22.31,8,0,9420252
KRW-SOL,long_short,729,-38.34,-5.80,-22.31,8,0,9420252
KRW-SOL,short,729,-38.34,0.00,0.00,0,0,10000000
KRW-SUI,long,729,-26.72,17.48,-27.15,10,0,11748016
KRW-SUI,long_short,729,-26.72,8.52,-45.54,10,2,10851853
KRW-SUI,short,729,-26.72,-7.63,-31.02,0,2,9237180
KRW-XRP,long,729,188.77,26.52,-14.55,4,0,12652383
KRW-XRP,long_short,729,188.77,30.41,-32.17,4,1,13041086
KRW-XRP,short,729,188.77,3.07,-24.33,0,1,10307217
