rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,46,-0.200,-0.050,0.000,0.13,-9.52,9.92
2,48,-0.200,-0.050,0.030,0.13,-9.52,9.92
3,49,-0.200,-0.050,0.050,0.13,-9.52,9.92
4,50,-0.200,-0.050,0.080,0.13,-9.52,9.92
5,47,-0.200,-0.050,0.020,0.13,-9.52,9.92
6,69,-0.250,-0.050,0.050,0.03,-15.80,9.92
7,68,-0.250,-0.050,0.030,0.03,-15.80,9.92
8,66,-0.250,-0.050,0.000,0.03,-15.80,9.92
9,70,-0.250,-0.050,0.080,0.03,-15.80,9.92
10,67,-0.250,-0.050,0.020,0.03,-15.80,9.92
11,86,-0.300,-0.050,0.000,-0.41,-15.80,9.92
12,87,-0.300,-0.050,0.020,-0.41,-15.80,9.92
13,89,-0.300,-0.050,0.050,-0.41,-15.80,9.92
14,88,-0.300,-0.050,0.030,-0.41,-15.80,9.92
15,90,-0.300,-0.050,0.080,-0.41,-15.80,9.92
16,43,-0.200,-0.030,0.030,-0.70,-9.55,10.53
17,45,-0.200,-0.030,0.080,-0.70,-9.55,10.53
18,41,-0.200,-0.030,0.000,-0.70,-9.55,10.53
19,44,-0.200,-0.030,0.050,-0.70,-9.55,10.53
20,42,-0.200,-0.030,0.020,-0.70,-9.55,10.53
54,31,-0.150 (현재),-0.070,0.000,-2.44,-13.78,4.47
