coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,120.59,-10.47,9.25,66,-0.250,-0.050,0.000
KRW-AVAX,-86.21,-5.28,4.12,42,-0.200,-0.030,0.020
KRW-BTC,442.80,-1.43,25.74,76,-0.250,-0.100,0.000
KRW-DOGE,79.84,5.24,17.86,76,-0.250,-0.100,0.000
KRW-DOT,-64.57,-2.73,24.63,76,-0.250,-0.100,0.000
KRW-ETH,445.93,6.01,25.38,41,-0.200,-0.030,0.000
KRW-LINK,-2.83,-0.03,14.17,41,-0.200,-0.030,0.000
KRW-SOL,-49.41,-2.07,1.02,51,-0.200,-0.070,0.000
KRW-SUI,61.87,28.17,42.60,16,-0.100,-0.100,0.000
KRW-XRP,222.71,64.53,84.91,96,-0.300,-0.100,0.000
