coin,rule_id,backstop_pct,trailing_pct,min_profit,base_pct,pnl_pct,max_dd_pct,n_buys,n_sells
KRW-ADA,4,-0.100,-0.030,0.050,0.30,-28.935,-48.242,695,178
KRW-ADA,2,-0.100,-0.030,0.020,0.30,-26.826,-48.243,701,178
KRW-ADA,3,-0.100,-0.030,0.030,0.30,-28.935,-48.242,695,178
KRW-ADA,5,-0.100,-0.030,0.080,0.30,-28.935,-48.242,695,178
KRW-ADA,6,-0.100,-0.050,0.000,0.30,-47.744,-55.583,563,119
KRW-ADA,9,-0.100,-0.050,0.050,0.30,-45.921,-54.033,550,117
KRW-ADA,10,-0.100,-0.050,0.080,0.30,-46.308,-54.362,545,116
KRW-ADA,11,-0.100,-0.070,0.000,0.30,-54.732,-59.707,480,88
KRW-ADA,12,-0.100,-0.070,0.020,0.30,-53.971,-59.031,476,87
KRW-ADA,7,-0.100,-0.050,0.020,0.30,-47.744,-55.583,563,119
KRW-ADA,1,-0.100,-0.030,0.000,0.30,-20.937,-44.080,717,181
KRW-ADA,8,-0.100,-0.050,0.030,0.30,-43.416,-51.904,552,117
KRW-ADA,14,-0.100,-0.070,0.050,0.30,-53.837,-58.911,466,85
KRW-ADA,16,-0.100,-0.100,0.000,0.30,-41.059,-57.134,391,66
KRW-ADA,15,-0.100,-0.070,0.080,0.30,-53.891,-58.959,449,83
KRW-ADA,17,-0.100,-0.100,0.020,0.30,-40.393,-56.649,386,65
KRW-ADA,21,-0.150,-0.030,0.000,0.30,-15.408,-38.552,659,157
KRW-ADA,23,-0.150,-0.030,0.030,0.30,-8.619,-37.748,642,152
KRW-ADA,24,-0.150,-0.030,0.050,0.30,-8.619,-37.748,642,152
KRW-ADA,22,-0.150,-0.030,0.020,0.30,-5.907,-37.750,647,152
KRW-ADA,13,-0.100,-0.070,0.030,0.30,-53.977,-59.035,472,86
KRW-ADA,18,-0.100,-0.100,0.030,0.30,-40.393,-56.649,386,65
KRW-ADA,19,-0.100,-0.100,0.050,0.30,-40.393,-56.649,386,65
KRW-ADA,20,-0.100,-0.100,0.080,0.30,-38.356,-56.590,366,62
KRW-ADA,25,-0.150,-0.030,0.080,0.30,-8.619,-37.748,642,152
KRW-ADA,27,-0.150,-0.050,0.020,0.30,-42.950,-53.111,477,83
KRW-ADA,28,-0.150,-0.050,0.030,0.30,-42.774,-53.111,471,82
KRW-ADA,26,-0.150,-0.050,0.000,0.30,-54.088,-60.904,511,92
KRW-ADA,33,-0.150,-0.070,0.030,0.30,-25.064,-49.897,395,62
KRW-ADA,35,-0.150,-0.070,0.080,0.30,-25.545,-49.897,386,61
KRW-ADA,34,-0.150,-0.070,0.050,0.30,-25.064,-49.897,395,62
KRW-ADA,36,-0.150,-0.100,0.000,0.30,-10.307,-39.640,340,45
KRW-ADA,29,-0.150,-0.050,0.050,0.30,-46.739,-55.184,470,82
KRW-ADA,30,-0.150,-0.050,0.080,0.30,-46.739,-55.184,470,82
KRW-ADA,31,-0.150,-0.070,0.000,0.30,-35.746,-49.616,431,69
KRW-ADA,32,-0.150,-0.070,0.020,0.30,-38.303,-49.897,392,63
