coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,89,-32.18,-4.89,-6.16,1,0,9511001
KRW-ADA,long_short,89,-32.18,-4.89,-6.16,1,0,9511001
KRW-ADA,short,89,-32.18,0.00,0.00,0,0,10000000
KRW-AVAX,long,89,-26.39,-2.36,-5.83,1,0,9764166
KRW-AVAX,long_short,89,-26.39,-2.36,-5.83,1,0,9764166
KRW-AVAX,short,89,-26.39,0.00,0.00,0,0,10000000
KRW-BTC,long,89,-17.84,-1.13,-6.19,1,0,9886570
KRW-BTC,long_short,89,-17.84,-1.13,-6.19,1,0,9886570
KRW-BTC,short,89,-17.84,0.00,0.00,0,0,10000000
KRW-DOGE,long,89,-26.12,-5.40,-7.47,1,0,9459966
KRW-DOGE,long_short,89,-26.12,-5.40,-7.47,1,0,9459966
KRW-DOGE,short,89,-26.12,0.00,0.00,0,0,10000000
KRW-DOT,long,89,-36.61,0.60,-7.49,2,0,10060463
KRW-DOT,long_short,89,-36.61,0.60,-7.49,2,0,10060463
KRW-DOT,short,89,-36.61,0.00,0.00,0,0,10000000
KRW-ETH,long,89,-26.20,-2.66,-6.23,2,0,9734151
KRW-ETH,long_short,89,-26.20,-2.66,-6.23,2,0,9734151
KRW-ETH,short,89,-26.20,0.00,0.00,0,0,10000000
KRW-LINK,long,89,-27.29,-1.43,-5.90,1,0,9857031
KRW-LINK,long_short,89,-27.29,-1.43,-5.90,1,0,9857031
KRW-LINK,short,89,-27.29,0.00,0.00,0,0,10000000
KRW-SOL,long,89,-35.03,-3.13,-6.40,2,0,9686764
KRW-SOL,long_short,89,-35.03,-3.13,-6.40,2,0,9686764
KRW-SOL,short,89,-35.03,0.00,0.00,0,0,10000000
KRW-SUI,long,89,-38.49,-1.60,-5.73,1,0,9839996
KRW-SUI,long_short,89,-38.49,-1.60,-5.73,1,0,9839996
KRW-SUI,short,89,-38.49,0.00,0.00,0,0,10000000
KRW-XRP,long,89,-27.80,-8.48,-10.37,2,0,9151856
KRW-XRP,long_short,89,-27.80,-8.48,-10.37,2,0,9151856
KRW-XRP,short,89,-27.80,0.00,0.00,0,0,10000000
