rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,37,-0.150,-0.100,0.020,0.02,0.00,0.25
2,23,-0.150,-0.030,0.030,0.02,0.00,0.25
3,70,-0.250,-0.050,0.080,0.02,0.00,0.25
4,51,-0.200,-0.070,0.000,0.02,0.00,0.25
5,72,-0.250,-0.070,0.020,0.02,0.00,0.25
6,74,-0.250,-0.070,0.050,0.02,0.00,0.25
7,77,-0.250,-0.100,0.020,0.02,0.00,0.25
8,80,-0.250,-0.100,0.080,0.02,0.00,0.25
9,100,-0.300,-0.100,0.080,0.02,0.00,0.25
10,35,-0.150,-0.070,0.080,0.02,0.00,0.25
11,92,-0.300,-0.070,0.020,0.02,0.00,0.25
12,55,-0.200,-0.070,0.080,0.02,0.00,0.25
13,66,-0.250,-0.050,0.000,0.02,0.00,0.25
14,84,-0.300,-0.030,0.050,0.02,0.00,0.25
15,91,-0.300,-0.070,0.000,0.02,0.00,0.25
16,24,-0.150,-0.030,0.050,0.02,0.00,0.25
17,78,-0.250,-0.100,0.030,0.02,0.00,0.25
18,68,-0.250,-0.050,0.030,0.02,0.00,0.25
19,50,-0.200,-0.050,0.080,0.02,0.00,0.25
20,33,-0.150,-0.070,0.030,0.02,0.00,0.25
49,31,-0.150 (현재),-0.070,0.000,0.02,0.00,0.25
