horizon_days,best_rule_id,best_backstop,best_trailing,best_min_profit,best_avg_pnl,best_worst_coin,best_best_coin,current_rule_avg_pnl,current_rule_rank
15,37,-0.150,-0.100,0.020,0.02,0.00,0.25,0.02,21
30,87,-0.300,-0.050,0.020,0.02,0.00,0.25,0.02,21
45,43,-0.200,-0.030,0.030,0.02,0.00,0.25,0.02,21
60,34,-0.150,-0.070,0.050,0.02,0.00,0.25,0.02,21
90,84,-0.300,-0.030,0.050,-2.70,-16.43,4.45,-5.35,21
120,82,-0.300,-0.030,0.020,-2.70,-16.43,4.45,-5.35,21
360,46,-0.200,-0.050,0.000,0.13,-9.52,9.92,-2.44,21
720,78,-0.250,-0.100,0.030,14.81,-10.51,76.84,8.19,21
1080,80,-0.250,-0.100,0.080,45.55,-1.78,114.18,25.58,21
