rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,34,-0.150,-0.070,0.050,0.02,0.00,0.25
2,37,-0.150,-0.100,0.020,0.02,0.00,0.25
3,50,-0.200,-0.050,0.080,0.02,0.00,0.25
4,62,-0.250,-0.030,0.020,0.02,0.00,0.25
5,75,-0.250,-0.070,0.080,0.02,0.00,0.25
6,42,-0.200,-0.030,0.020,0.02,0.00,0.25
7,59,-0.200,-0.100,0.050,0.02,0.00,0.25
8,67,-0.250,-0.050,0.020,0.02,0.00,0.25
9,86,-0.300,-0.050,0.000,0.02,0.00,0.25
10,39,-0.150,-0.100,0.050,0.02,0.00,0.25
11,21,-0.150,-0.030,0.000,0.02,0.00,0.25
12,46,-0.200,-0.050,0.000,0.02,0.00,0.25
13,77,-0.250,-0.100,0.020,0.02,0.00,0.25
14,79,-0.250,-0.100,0.050,0.02,0.00,0.25
15,31,-0.150,-0.070,0.000,0.02,0.00,0.25
16,65,-0.250,-0.030,0.080,0.02,0.00,0.25
17,52,-0.200,-0.070,0.020,0.02,0.00,0.25
18,74,-0.250,-0.070,0.050,0.02,0.00,0.25
19,35,-0.150,-0.070,0.080,0.02,0.00,0.25
20,28,-0.150,-0.050,0.030,0.02,0.00,0.25
15,31,-0.150 (현재),-0.070,0.000,0.02,0.00,0.25
