coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,364,-59.03,-2.99,-17.06,3,0,9701338
KRW-ADA,long_short,364,-59.03,-2.99,-17.06,3,0,9701338
KRW-ADA,short,364,-59.03,0.00,0.00,0,0,10000000
KRW-AVAX,long,364,-51.67,-11.92,-24.50,4,0,8807856
KRW-AVAX,long_short,364,-51.67,-11.92,-24.50,4,0,8807856
KRW-AVAX,short,364,-51.67,0.00,0.00,0,0,10000000
KRW-BTC,long,364,-8.27,-0.16,-6.44,2,0,9983854
KRW-BTC,long_short,364,-8.27,5.19,-28.27,2,1,10518811
KRW-BTC,short,364,-8.27,5.36,-23.54,0,1,10535793
KRW-DOGE,long,364,-37.51,7.19,-12.16,2,0,10719414
KRW-DOGE,long_short,364,-37.51,7.19,-12.16,2,0,10719414
KRW-DOGE,short,364,-37.51,0.00,0.00,0,0,10000000
KRW-DOT,long,364,-66.01,-2.98,-14.42,4,0,9701825
KRW-DOT,long_short,364,-66.01,-2.98,-14.42,4,0,9701825
KRW-DOT,short,364,-66.01,0.00,0.00,0,0,10000000
KRW-ETH,long,364,49.79,-2.66,-6.23,2,0,9734151
KRW-ETH,long_short,364,49.79,-2.66,-6.23,2,0,9734151
KRW-ETH,short,364,49.79,0.00,0.00,0,0,10000000
KRW-LINK,long,364,-25.73,3.98,-12.48,3,0,10397602
KRW-LINK,long_short,364,-25.73,3.98,-12.48,3,0,10397602
KRW-LINK,short,364,-25.73,0.00,0.00,0,0,10000000
KRW-SOL,long,364,-36.39,-15.16,-19.56,3,0,8484361
KRW-SOL,long_short,364,-36.39,-15.16,-19.56,3,0,8484361
KRW-SOL,short,364,-36.39,0.00,0.00,0,0,10000000
KRW-SUI,long,364,-54.10,-3.40,-18.91,5,0,9659971
KRW-SUI,long_short,364,-54.10,-2.08,-29.46,5,1,9792238
KRW-SUI,short,364,-54.10,1.37,-24.36,0,1,10136923
KRW-XRP,long,364,-29.48,-8.48,-10.37,2,0,9151856
KRW-XRP,long_short,364,-29.48,-8.48,-10.37,2,0,9151856
KRW-XRP,short,364,-29.48,0.00,0.00,0,0,10000000
