rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,78,-0.250,-0.100,0.030,14.81,-10.51,76.84
2,80,-0.250,-0.100,0.080,14.81,-10.51,76.84
3,77,-0.250,-0.100,0.020,14.81,-10.51,76.84
4,76,-0.250,-0.100,0.000,14.81,-10.51,76.84
5,79,-0.250,-0.100,0.050,14.81,-10.51,76.84
6,99,-0.300,-0.100,0.050,12.98,-12.19,84.91
7,97,-0.300,-0.100,0.020,12.98,-12.19,84.91
8,100,-0.300,-0.100,0.080,12.98,-12.19,84.91
9,98,-0.300,-0.100,0.030,12.98,-12.19,84.91
10,96,-0.300,-0.100,0.000,12.98,-12.19,84.91
11,57,-0.200,-0.100,0.020,11.89,-12.67,76.84
12,56,-0.200,-0.100,0.000,11.89,-12.67,76.84
13,59,-0.200,-0.100,0.050,11.89,-12.67,76.84
14,58,-0.200,-0.100,0.030,11.89,-12.67,76.84
15,60,-0.200,-0.100,0.080,11.89,-12.67,76.84
16,12,-0.100,-0.070,0.020,9.52,-9.65,78.15
17,13,-0.100,-0.070,0.030,9.52,-9.65,78.15
18,15,-0.100,-0.070,0.080,9.52,-9.65,78.15
19,11,-0.100,-0.070,0.000,9.52,-9.65,78.15
20,14,-0.100,-0.070,0.050,9.52,-9.65,78.15
43,31,-0.150 (현재),-0.070,0.000,8.19,-10.47,64.53
