rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,87,-0.300,-0.050,0.020,0.02,0.00,0.25
2,97,-0.300,-0.100,0.020,0.02,0.00,0.25
3,29,-0.150,-0.050,0.050,0.02,0.00,0.25
4,34,-0.150,-0.070,0.050,0.02,0.00,0.25
5,58,-0.200,-0.100,0.030,0.02,0.00,0.25
6,25,-0.150,-0.030,0.080,0.02,0.00,0.25
7,47,-0.200,-0.050,0.020,0.02,0.00,0.25
8,63,-0.250,-0.030,0.030,0.02,0.00,0.25
9,81,-0.300,-0.030,0.000,0.02,0.00,0.25
10,84,-0.300,-0.030,0.050,0.02,0.00,0.25
11,68,-0.250,-0.050,0.030,0.02,0.00,0.25
12,39,-0.150,-0.100,0.050,0.02,0.00,0.25
13,26,-0.150,-0.050,0.000,0.02,0.00,0.25
14,57,-0.200,-0.100,0.020,0.02,0.00,0.25
15,83,-0.300,-0.030,0.030,0.02,0.00,0.25
16,79,-0.250,-0.100,0.050,0.02,0.00,0.25
17,88,-0.300,-0.050,0.030,0.02,0.00,0.25
18,64,-0.250,-0.030,0.050,0.02,0.00,0.25
19,51,-0.200,-0.070,0.000,0.02,0.00,0.25
20,82,-0.300,-0.030,0.020,0.02,0.00,0.25
64,31,-0.150 (현재),-0.070,0.000,0.02,0.00,0.25
