variant,pnl_pct,events
현재 룰 (-15% 전량),-15.25,1
A. -25% 전량,-8.79,1
B. -15% 50% 부분,-15.41,8
C. -25% + RSI<20 유예,-8.79,1
D. -25% + 유예 + 50% 부분,-8.79,1
E. D + sell_strong 50%,-7.6,4
F1. +3% 익절만,-15.25,1
F2. +3% 익절 + -25% + 유예,2.87,0
F3. F2 + 50% 부분,2.87,0
F4. F2 + trailing -3%,2.87,0
F5. +5% 익절 + -25% + 유예,2.87,0
단순 홀딩,2.92,0
