coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,-44.30,12.03,18.02,81,-0.300,-0.030,0.000
KRW-AVAX,-72.39,-14.85,2.19,37,-0.150,-0.100,0.020
KRW-BTC,22.41,11.80,19.17,77,-0.250,-0.100,0.020
KRW-DOGE,-33.16,7.72,53.05,76,-0.250,-0.100,0.000
KRW-DOT,-80.50,-33.46,22.17,64,-0.250,-0.030,0.050
KRW-ETH,-21.87,6.11,37.81,67,-0.250,-0.050,0.020
KRW-LINK,-32.62,12.59,44.53,51,-0.200,-0.070,0.000
KRW-SOL,-38.17,-1.82,31.78,88,-0.300,-0.050,0.030
KRW-SUI,-17.08,-25.55,-10.91,66,-0.250,-0.050,0.000
KRW-XRP,184.73,50.56,87.96,12,-0.100,-0.070,0.020
