coin,hold_pnl_pct,current_rule_pnl_pct,best_rule_pnl_pct,best_rule_id,best_backstop,best_trailing,best_min_profit
KRW-ADA,120.59,-5.56,5.45,1,-0.100,-0.030,0.000
KRW-AVAX,-86.21,-7.21,2.00,42,-0.200,-0.030,0.020
KRW-BTC,442.80,-0.74,2.10,71,-0.250,-0.070,0.000
KRW-DOGE,79.84,0.92,5.89,61,-0.250,-0.030,0.000
KRW-DOT,-64.57,3.30,4.53,22,-0.150,-0.030,0.020
KRW-ETH,445.93,-0.01,1.52,22,-0.150,-0.030,0.020
KRW-LINK,-2.83,4.47,11.45,51,-0.200,-0.070,0.000
KRW-SOL,-49.41,-13.78,-8.14,41,-0.200,-0.030,0.000
KRW-SUI,61.87,1.41,3.59,47,-0.200,-0.050,0.020
KRW-XRP,222.71,-7.23,-2.99,84,-0.300,-0.030,0.050
