rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,80,-0.250,-0.100,0.080,45.55,-1.78,114.18
2,78,-0.250,-0.100,0.030,45.55,-1.78,114.18
3,77,-0.250,-0.100,0.020,45.55,-1.78,114.18
4,79,-0.250,-0.100,0.050,45.55,-1.78,114.18
5,76,-0.250,-0.100,0.000,45.55,-1.78,114.18
6,96,-0.300,-0.100,0.000,42.52,-6.80,123.96
7,100,-0.300,-0.100,0.080,42.52,-6.80,123.96
8,99,-0.300,-0.100,0.050,42.52,-6.80,123.96
9,98,-0.300,-0.100,0.030,42.52,-6.80,123.96
10,97,-0.300,-0.100,0.020,42.52,-6.80,123.96
11,57,-0.200,-0.100,0.020,41.54,6.19,114.18
12,59,-0.200,-0.100,0.050,41.54,6.19,114.18
13,56,-0.200,-0.100,0.000,41.54,6.19,114.18
14,60,-0.200,-0.100,0.080,41.54,6.19,114.18
15,58,-0.200,-0.100,0.030,41.54,6.19,114.18
16,38,-0.150,-0.100,0.030,34.39,-0.18,114.18
17,36,-0.150,-0.100,0.000,34.39,-0.18,114.18
18,39,-0.150,-0.100,0.050,34.39,-0.18,114.18
19,37,-0.150,-0.100,0.020,34.39,-0.18,114.18
20,40,-0.150,-0.100,0.080,34.39,-0.18,114.18
39,31,-0.150 (현재),-0.070,0.000,25.58,-1.64,87.18
