rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,97,-0.300,-0.100,0.020,-5.17,-53.62,80.24
2,98,-0.300,-0.100,0.030,-6.40,-53.98,69.01
3,99,-0.300,-0.100,0.050,-7.18,-53.98,64.72
4,100,-0.300,-0.100,0.080,-7.77,-50.30,64.72
5,89,-0.300,-0.050,0.050,-7.88,-40.60,21.30
6,90,-0.300,-0.050,0.080,-8.05,-40.60,21.30
7,96,-0.300,-0.100,0.000,-8.52,-52.86,74.52
8,45,-0.200,-0.030,0.080,-8.71,-39.08,13.01
9,40,-0.150,-0.100,0.080,-8.91,-60.88,56.48
10,37,-0.150,-0.100,0.020,-9.07,-60.01,51.59
11,39,-0.150,-0.100,0.050,-9.14,-61.11,54.27
12,38,-0.150,-0.100,0.030,-9.32,-60.01,51.59
13,88,-0.300,-0.050,0.030,-9.37,-44.99,18.87
14,87,-0.300,-0.050,0.020,-9.55,-44.30,18.87
15,44,-0.200,-0.030,0.050,-10.54,-39.08,11.31
16,78,-0.250,-0.100,0.030,-10.73,-58.27,64.82
17,77,-0.250,-0.100,0.020,-10.79,-57.95,63.81
18,80,-0.250,-0.100,0.080,-11.26,-49.54,62.15
19,79,-0.250,-0.100,0.050,-11.61,-58.71,62.15
20,43,-0.200,-0.030,0.030,-12.09,-40.18,11.31
69,31,-0.150 (현재),-0.070,0.000,-20.03,-63.19,12.61
